KernelId,url,Expert 1,Expert 2,Expert 3,expert_score
21,https://www.kaggle.com/code/benhamner/random-forest-benchmark-1/notebook,1,1,1,1
14123,https://www.kaggle.com/code/benhamner/random-forest-example/notebook,0,0,0,0
38553,https://www.kaggle.com/code/scirpus/genetic-programming-lb-0-88/notebook,1,1,1,1
38728,https://www.kaggle.com/code/j55511/simple-skflow/notebook,0,0,0,0
39359,https://www.kaggle.com/code/omarelgabry/predict-search-relevance-by-count-words/notebook,0,0,0,0
45733,https://www.kaggle.com/code/cast42/2x-xgboost-rf-ensembling/notebook,1,0,0,0
47317,https://www.kaggle.com/code/scirpus/nineteen-features/notebook,0,0,0,0
48006,https://www.kaggle.com/code/cast42/exploring-features/notebook,1,1,1,1
58723,https://www.kaggle.com/code/chefele/plot-some-image-sets/notebook,0,0,0,0
63020,https://www.kaggle.com/code/dilipkomar/pandas/notebook,0,0,0,0
66936,https://www.kaggle.com/code/sergeymenis/titanic-dataset-analysis/notebook,0,1,0,0
69063,https://www.kaggle.com/code/hrantkhachatrian/exploratory-classes-per-driver/notebook,0,0,0,0
69640,https://www.kaggle.com/code/elnazfathi/analyzing-the-time/notebook,0,0,0,0
69746,https://www.kaggle.com/code/elenacuoco/dataload/notebook,0,0,0,0
73086,https://www.kaggle.com/code/keyshin/xplore-complete-enron/notebook,0,0,0,0
74624,https://www.kaggle.com/code/valadi/mad-scripts-battle-z/notebook,0,0,0,0
77720,https://www.kaggle.com/code/uditsaini/exploring-talking-data/notebook,1,0,0,0
77764,https://www.kaggle.com/code/beyondbeneath/geolocation-visualisations/notebook,1,1,1,1
88995,https://www.kaggle.com/code/athenalog/analysis-for-airplane-crashes-since-1908/notebook,0,0,0,0
90943,https://www.kaggle.com/code/apapiu/poor-man-s-xgboost/notebook,0,0,0,0
92410,https://www.kaggle.com/code/netzone/data-exploration/notebook,0,0,0,0
95833,https://www.kaggle.com/code/leenas/iris-classification-scikit-learn-practice/notebook,1,1,0,1
96641,https://www.kaggle.com/code/raosindhu/home-sales-data-r/notebook,0,0,0,0
103613,https://www.kaggle.com/code/arthurlu/exploratory-tutorial-titanic/notebook,0,1,1,1
104618,https://www.kaggle.com/code/enovictor/xgbregressor-allstate-claims-severity/notebook,1,0,0,0
108485,https://www.kaggle.com/code/andymasl/quick-look-at-clusters/notebook,0,1,0,0
113875,https://www.kaggle.com/code/n2parko/twitter-wars-trump-v-hillary/notebook,0,0,0,0
114843,https://www.kaggle.com/code/felipempleite/predicting-win-probability-during-match/notebook,0,0,0,0
115520,https://www.kaggle.com/code/amberthomas/ghosts-goblins-and-ghouls-oh-my/notebook,1,1,1,1
116311,https://www.kaggle.com/code/aiyoyo/exploring-home-team-advantage/notebook,0,1,0,0
117946,https://www.kaggle.com/code/kvnchn/notebook399529d6ab/notebook,0,0,0,0
124254,https://www.kaggle.com/code/mehrdadmizani/no-excel-pivot-table-using-pandas-draft/notebook,0,0,0,0
126601,https://www.kaggle.com/code/lovedo/100-accuracy-with-log-transformed-data/notebook,0,1,1,1
140834,https://www.kaggle.com/code/nirajvermafcb/random-forest/notebook,0,0,0,0
142549,https://www.kaggle.com/code/monkeydunkey/santa-s-gifts-estimated-weight-and-bin-packing/notebook,0,0,1,0
145547,https://www.kaggle.com/code/vigilanf/building-a-neural-net-to-predict-default/notebook,0,0,0,0
148161,https://www.kaggle.com/code/musella/dimensionality-reduction-using-pca/notebook,0,0,0,0
150264,https://www.kaggle.com/code/zbyte64/skflow-dnn-classifier/notebook,0,0,0,0
150403,https://www.kaggle.com/code/bp249507/finding-fraud/notebook,1,0,0,0
153833,https://www.kaggle.com/code/qqgeogor/pypy-implementation-of-fm-with-adam/notebook,0,0,0,0
162661,https://www.kaggle.com/code/giorgiogarziano/company-work-force-analysis/notebook,0,0,0,0
173312,https://www.kaggle.com/code/mathewsavage/sql-joins-and-data-access/notebook,0,0,0,0
174902,https://www.kaggle.com/code/kplauritzen/notebookde27b18258/notebook,1,0,0,0
178497,https://www.kaggle.com/code/wendykan/starter-explore-youtube8m-sample-data/notebook,0,0,0,0
179959,https://www.kaggle.com/code/zyedpls/regularized-linear-models/notebook,0,0,0,0
185160,https://www.kaggle.com/code/viczyf/titanic-random-forest-82-78/notebook,0,0,0,0
192880,https://www.kaggle.com/code/somrikbanerjee/predicting-show-up-no-show/notebook,0,0,1,0
203461,https://www.kaggle.com/code/ashu12/uk-road-accidents-exploration/notebook,1,1,1,1
207897,https://www.kaggle.com/code/tobikaggle/pima-diabetes-keras-implementation/notebook,0,0,0,0
209819,https://www.kaggle.com/code/kazanova/xgboost-python-scores-around-0-544/notebook,0,1,0,0
209967,https://www.kaggle.com/code/raghavrastogi75/student-scores-analysis-and-prediction/notebook,0,0,0,0
213126,https://www.kaggle.com/code/yundoou/knn-precision-rate-grows-from-72-to-92/notebook,0,0,0,0
217853,https://www.kaggle.com/code/mlearn/python-vs-r-as-seen-in-kaggle-scripts/notebook,0,0,0,0
219715,https://www.kaggle.com/code/jmataya/k-nearest-neighbors-classifier/notebook,1,0,0,0
221142,https://www.kaggle.com/code/jackywong1825/national-and-state-bank-failures/notebook,1,0,0,0
221166,https://www.kaggle.com/code/vincentrusso/data-analysis-of-south-park-dialog/notebook,0,0,0,0
226056,https://www.kaggle.com/code/dawnwages/craft-beers-dataset/notebook,0,0,0,0
235807,https://www.kaggle.com/code/arthurtok/decision-boundaries-visualised-via-python-plotly/notebook,1,1,1,1
235856,https://www.kaggle.com/code/opanichev/same-data-in-train-and-test/notebook,0,0,1,0
238816,https://www.kaggle.com/code/avinash29/kmeans-clustering-of-iris-data/notebook,0,0,0,0
238854,https://www.kaggle.com/code/nemanjar/hr-analytics-employee-churn/notebook,1,0,0,0
242006,https://www.kaggle.com/code/mnitin3/explore-and-classify/notebook,0,0,0,0
245262,https://www.kaggle.com/code/aharless/predicting-house-prices-linear-ensemble-and-svm/notebook,0,0,0,0
246753,https://www.kaggle.com/code/arathee2/creating-some-useful-additional-features/notebook,1,1,1,1
249490,https://www.kaggle.com/code/davidmercury/hero-picking-and-match-result/notebook,0,1,0,0
251390,https://www.kaggle.com/code/viveksrinivasan/eda-focus-on-missing-values-and-simple-xgb/notebook,1,1,1,1
259910,https://www.kaggle.com/code/andirs/hr-prediction-leveraging-clusters/notebook,0,0,0,0
262226,https://www.kaggle.com/code/ariadne/simple-one-feature-linear-regression/notebook,1,0,1,1
268097,https://www.kaggle.com/code/linxinzhe/tensorflow-deep-learning-to-solve-titanic/notebook,1,0,0,0
271553,https://www.kaggle.com/code/nhbalov/a-simple-penalized-regression-model/notebook,0,0,0,0
281854,https://www.kaggle.com/code/pratikkgandhi/medical-appointment-show-up-no-show/notebook,0,1,1,1
298964,https://www.kaggle.com/code/danieleewww/xgboost-without-outliers-lb-0-06463/notebook,0,0,0,0
301565,https://www.kaggle.com/code/bhuvaneshwaran/redefining-cancer-treatment-linear-svc/notebook,1,1,0,1
305959,https://www.kaggle.com/code/frknozr/credit-card-fraud-detection-with-knn/notebook,0,0,1,0
310240,https://www.kaggle.com/code/muonneutrino/wikipedia-traffic-data-exploration/notebook,1,1,1,1
311899,https://www.kaggle.com/code/riteshdash/linear-regression-numpy-pandas-sklearn-matplotlib/notebook,1,1,1,1
316935,https://www.kaggle.com/code/yohanb/fe-lightgbm-local-cv-0-37-0-002/notebook,0,0,0,0
317468,https://www.kaggle.com/code/mmotoki/markov-chain-tutorial/notebook,1,1,1,1
323258,https://www.kaggle.com/code/dsloet/heatmap-plot-and-basemap-plot/notebook,0,0,0,0
325709,https://www.kaggle.com/code/sohier/wtop-10-iterators/notebook,1,0,0,0
328407,https://www.kaggle.com/code/lukeeee/fast-r-port-of-faron-s-f1-maximization/notebook,1,1,1,1
331537,https://www.kaggle.com/code/karelrv/nyct-from-a-to-z-with-xgboost-tutorial/notebook,1,1,1,1
332620,https://www.kaggle.com/code/stephaniestallworth/hr-exploratory-analysis-and-logistic-regression/notebook,0,1,0,0
334440,https://www.kaggle.com/code/huseinzol05/mortality-rate-decreases/notebook,1,1,0,1
339268,https://www.kaggle.com/code/mbkinaci/elon-musk-wordcloud-from-tweets/notebook,1,0,1,1
342960,https://www.kaggle.com/code/arjunjoshua/predicting-fraud-in-financial-payment-services/notebook,1,1,1,1
350870,https://www.kaggle.com/code/chapagain/titanic-solution-a-beginner-s-guide/notebook,1,1,1,1
351390,https://www.kaggle.com/code/elikplim/predicting-the-localization-sites-of-proteins/notebook,0,1,1,1
379640,https://www.kaggle.com/code/sudosudoohio/stratified-kfold-xgboost-eda-tutorial-0-281/notebook,1,1,1,1
381029,https://www.kaggle.com/code/jeanselme/first-analysis-pizza-city/notebook,0,1,0,0
381499,https://www.kaggle.com/code/kunstmord/exploring-the-songs/notebook,0,0,0,0
382194,https://www.kaggle.com/code/binilg/simple-linear-regression/notebook,0,0,0,0
384686,https://www.kaggle.com/code/aadimator/cnn-with-character-visualization/notebook,0,0,0,0
392470,https://www.kaggle.com/code/selfishgene/exploring-youtube-faces-with-keypoints-dataset/notebook,1,1,1,1
393475,https://www.kaggle.com/code/suyashshetty/trend-analysis/notebook,0,0,0,0
395564,https://www.kaggle.com/code/laowingkin/amazon-fine-food-review-sentiment-analysis/notebook,1,0,0,0
400145,https://www.kaggle.com/code/nhirons/simple-visualizations-of-the-impact-of-null-values/notebook,1,0,0,0
400282,https://www.kaggle.com/code/ambarish/grocery-eda-dirty-xgboost-arima-ets-prophet/notebook,1,1,1,1
403241,https://www.kaggle.com/code/rspadim/convert-binary-to-categorical/notebook,0,1,0,0
404441,https://www.kaggle.com/code/priyankakonakandla/5-day-data-challenge/notebook,0,0,0,0
405532,https://www.kaggle.com/code/knowledgegrappler/a-keras-prototype-0-21174-on-pl/notebook,0,0,0,0
409940,https://www.kaggle.com/code/zhihui/feature-construction-and-distribution/notebook,0,0,0,0
410556,https://www.kaggle.com/code/dimitrif/domain-knowledge/notebook,0,0,0,0
410796,https://www.kaggle.com/code/aoisakata/simple-word-cloud-in-python/notebook,0,1,0,0
412362,https://www.kaggle.com/code/berhag/us-energy-census-gdp-2010-2014-analysis/notebook,0,0,0,0
420551,https://www.kaggle.com/code/aharless/rgf-or-xgb-k-fold-with-log-odds-averaging/notebook,1,1,1,1
426468,https://www.kaggle.com/code/scirpus/libffm-generator-lb-280/notebook,1,1,1,1
429233,https://www.kaggle.com/code/bazingasu/data-exploration/notebook,1,0,0,0
432229,https://www.kaggle.com/code/stingeroo/ensembling-stacking-hr-with-python/notebook,0,0,0,0
453295,https://www.kaggle.com/code/gaborfodor/seedlings-pretrained-keras-models/notebook,1,1,1,1
460362,https://www.kaggle.com/code/shubhs1211/predict-sales-xgboost/notebook,0,0,0,0
463868,https://www.kaggle.com/code/residentmario/grammar-of-graphics-with-plotnine-optional/notebook,1,0,0,0
465944,https://www.kaggle.com/code/metadist/does-shipping-price-matter-spoiler-no/notebook,1,1,0,1
466158,https://www.kaggle.com/code/ironbar/frequency-of-the-labels-in-the-public-test-set/notebook,1,0,1,1
481577,https://www.kaggle.com/code/davidzarebski/a-neural-net-for-red-wine-quality-estimation/notebook,1,0,0,0
486461,https://www.kaggle.com/code/juejuewang/handle-missing-values-in-time-series-for-beginners/notebook,1,1,1,1
496916,https://www.kaggle.com/code/vlasoff/catboost-forget-about-time-series/notebook,0,0,0,0
502902,https://www.kaggle.com/code/timniessen/mnist-simple-keras-hello-world-solution/notebook,0,0,1,0
505358,https://www.kaggle.com/code/selfishgene/filtering-and-auto-correlation-tutorial/notebook,1,1,1,1
538710,https://www.kaggle.com/code/clairechung/mnist-keras-v2-cnn-98-8/notebook,1,0,0,0
557364,https://www.kaggle.com/code/raoulma/cancer-image-tensorflow-cnn-80-valid-acc/notebook,1,0,1,1
562100,https://www.kaggle.com/code/raoulma/nuclei-dsb-2018-tensorflow-u-net-score-0-352/notebook,0,0,0,0
580093,https://www.kaggle.com/code/hakkisimsek/plotly-tutorial-1/notebook,1,1,1,1
595524,https://www.kaggle.com/code/residentmario/exercise-summary-functions-and-maps/notebook,1,1,1,1
602802,https://www.kaggle.com/code/bdeng3/object-oriented-nn-tensorflow-acc-0-95/notebook,0,1,0,0
603303,https://www.kaggle.com/code/plantsgo/solution-public-0-471-private-0-505/notebook,1,1,1,1
642227,https://www.kaggle.com/code/nata009/deodorant-liking-prediction/notebook,0,0,0,0
664729,https://www.kaggle.com/code/chrisbow/credit-card-fraud-prediction-in-r/notebook,0,0,0,0
672215,https://www.kaggle.com/code/praveen14/house-pred-linear-regression/notebook,0,0,0,0
672667,https://www.kaggle.com/code/yekenot/pooled-gru-fasttext/notebook,1,1,1,1
682462,https://www.kaggle.com/code/couyang/when-keras-light-shine-in-r-you-shall-have-it-all/notebook,0,1,0,0
690312,https://www.kaggle.com/code/kredy10/simple-lstm-for-text-classification/notebook,1,1,1,1
701033,https://www.kaggle.com/code/derrington/titanic-with-movie-character-predictions/notebook,0,0,0,0
708646,https://www.kaggle.com/code/circle811/tf-idf-logistic-regression/notebook,0,0,0,0
713938,https://www.kaggle.com/code/liopic/refining-new-features-using-adaboostclassifier/notebook,0,0,0,0
715887,https://www.kaggle.com/code/anttip/wordbatch-1-3-3-fm-ftrl-lb-0-9812/notebook,0,0,0,0
715901,https://www.kaggle.com/code/caicell/zomato-india-restaurants-eda/notebook,1,1,1,1
735449,https://www.kaggle.com/code/gunnvant/building-content-recommender-tutorial/notebook,1,1,1,1
737379,https://www.kaggle.com/code/husainsb/titanic-survived-or-not-survived/notebook,0,0,0,0
737884,https://www.kaggle.com/code/sergeyzlobin/wanna-blend/notebook,1,1,1,1
738201,https://www.kaggle.com/code/aharless/training-and-validation-data-pickle/notebook,0,0,0,0
773118,https://www.kaggle.com/code/aashita/feature-engineering-for-march-madness/notebook,0,0,0,0
792645,https://www.kaggle.com/code/agodwinp/stacking-house-prices-walkthrough-to-top-5/notebook,1,1,1,1
804347,https://www.kaggle.com/code/yingbao/feature-engineering-for-house-price-prediction/notebook,0,0,0,0
815235,https://www.kaggle.com/code/satyakatti/data-cleaning-challenge-parsing-dates/notebook,1,0,0,0
831079,https://www.kaggle.com/code/mjcarter95/renewable-energy-data-exploration/notebook,0,0,1,0
839848,https://www.kaggle.com/code/linuxarpan/python-crash-course/notebook,1,0,0,0
843328,https://www.kaggle.com/code/krishnakesavan/r-lgbm-single-model-40m-rows-lb-0-9736/notebook,1,1,1,1
